"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77263","Test 1 - verify Pricing button in the header","","Mon Apr 21 15:36:57 EEST 2025","passed","Mon Apr 21 15:38:14 EEST 2025","","Testing Telnyx web-site","",""
"","63434","Test 1 - verify Pricing button in the header","","Mon Apr 21 15:28:12 EEST 2025","passed","Mon Apr 21 15:29:15 EEST 2025","","Testing Telnyx web-site","",""
"","54486","Test 6 - Pricing page content","","Mon Apr 21 15:37:09 EEST 2025","passed","Mon Apr 21 15:38:04 EEST 2025","","Testing Telnyx web-site","",""
"","33605","Test 1 - verify Pricing button in the header","","Mon Apr 21 15:59:45 EEST 2025","passed","Mon Apr 21 16:00:19 EEST 2025","","Testing Telnyx web-site","",""
"","17453","Test 6 - Pricing page content","","Mon Apr 21 15:30:30 EEST 2025","passed","Mon Apr 21 15:30:47 EEST 2025","","Testing Telnyx web-site","",""
"","35012","Test 6 - Pricing page content","","Mon Apr 21 17:41:41 EEST 2025","passed","Mon Apr 21 17:42:16 EEST 2025","","Testing Telnyx web-site","",""
